"Date","Sensex","Tata Consultancy Services","Bharti Airtel","Axis Bank","Maruti Suzuki India","HCL Technologies","UltraTech Cement","Power Grid Corporation of India","NTPC","IndusInd Bank","Bajaj Auto","JSW Steel","Wipro","Adani Enterprises"
2021-07-01,52318.6015625,2948.69604492188,495.366729736328,742.105224609375,7270.66357421875,802.226623535156,6526.5859375,100.395401000977,95.2264709472656,971.470825195312,3626.4755859375,620.15869140625,246.365081787109,1486.23571777344
2021-07-02,52484.671875,2935.060546875,497.261566162109,746.180847167969,7255.23193359375,801.6162109375,6539.33154296875,99.1562194824219,95.2670822143555,973.736633300781,3599.31298828125,612.091125488281,246.068145751953,1418.2216796875
2021-07-05,52880,2931.529296875,496.361450195312,755.624267578125,7281.8779296875,798.075561523438,6537.3369140625,100.112800598145,96.3228912353516,983.619140625,3619.921875,619.132995605469,244.926330566406,1390.04858398438
2021-07-06,52861.1796875,2879.28100585938,498.3037109375,754.133239746094,7199.69140625,791.198181152344,6748.0908203125,99.5692901611328,95.5107269287109,993.067687988281,3615.1787109375,619.501281738281,243.236373901367,1410.69226074219
2021-07-07,53054.76171875,2890.71069335938,501.761840820312,758.109375,7141.705078125,793.884033203125,6735.9765625,100.373664855957,95.3077011108398,1007.14416503906,3610.26440429688,635.149841308594,243.030853271484,1421.41296386719
2021-07-08,52568.94140625,2874.64721679688,497.593200683594,749.958251953125,7093.3515625,795.10498046875,6716.078125,100.504119873047,95.3889007568359,1007.72253417969,3636.62670898438,615.266906738281,242.551254272461,1421.6123046875
2021-07-09,52386.19140625,2831.09228515625,507.778106689453,742.602233886719,7116.59326171875,795.064147949219,6711.31103515625,100.091041564941,95.7543792724609,1002.90197753906,3564.0966796875,627.37158203125,240.153366088867,1426.74841308594
2021-07-12,52372.69140625,2818.03002929688,501.809204101562,749.163024902344,7160.681640625,796.854736328125,6902.02001953125,99.6127624511719,95.6731719970703,1011.48278808594,3531.57861328125,639.015991210938,240.199081420898,1417.12463378906
2021-07-13,52769.73046875,2813.57299804688,502.472473144531,766.210754394531,7118.03125,788.837768554688,6934.32373046875,99.3953704833984,97.2974853515625,1017.79791259766,3537.19897460938,645.551574707031,239.742340087891,1413.78381347656
2021-07-14,52904.05078125,2836.4755859375,502.140899658203,765.365905761719,7023.720703125,805.360107421875,6925.32373046875,99.9823608398438,98.028434753418,1014.56811523438,3528.01025390625,644.677062988281,256.504608154297,1397.6279296875
2021-07-15,53158.8515625,2831.744140625,497.924774169922,769.590698242188,7003.40087890625,846.46240234375,6997.32666015625,100.156265258789,97.7441864013672,1017.21948242188,3514.44970703125,643.388366699219,262.967529296875,1404.50915527344
2021-07-16,53140.05859375,2825.68481445312,512.562622070312,766.509033203125,7000.14208984375,817.894226074219,7133.498046875,101.656318664551,96.7289810180664,1007.09600830078,3506.15283203125,647.346618652344,263.835296630859,1390.84655761719
2021-07-19,52553.3984375,2816.6181640625,510.004608154297,750.654052734375,6868.16455078125,814.068969726562,7114.62158203125,101.308494567871,98.5563583374023,979.424987792969,3464.31225585938,642.928100585938,261.985504150391,1376.78503417969
2021-07-20,52198.51171875,2835.10498046875,498.209014892578,741.359741210938,6932.66796875,795.430480957031,7222.8203125,100.5693359375,96.2010726928711,946.885192871094,3482.91284179688,627.647705078125,259.678955078125,1362.27465820312
2021-07-22,52837.2109375,2845.05517578125,517.773559570312,742.055480957031,6992.61865234375,796.48828125,7258.4814453125,101.373718261719,96.8914031982422,956.864013671875,3437.01318359375,659.727478027344,266.758453369141,1411.14099121094
2021-07-23,52975.80078125,2841.07543945312,519.715759277344,750.75341796875,6987.25146484375,809.226196289062,7286.79541015625,101.330230712891,96.2416763305664,953.24853515625,3429.51904296875,660.371765136719,273.655242919922,1399.72241210938
2021-07-26,52852.26953125,2829.84228515625,515.310241699219,751.648071289062,6934.92041015625,813.906127929688,7417.5673828125,101.112831115723,96.9726257324219,946.113891601562,3422.33740234375,648.405212402344,269.750091552734,1399.9716796875
2021-07-27,52578.76171875,2815.42456054688,512.041564941406,727.393371582031,6940.52783203125,812.923583984375,7385.36083984375,100.91716003418,96.4447174072266,940.66650390625,3408.3310546875,653.974182128906,270.161163330078,1392.79113769531
2021-07-28,52443.7109375,2828.20532226562,538.048645019531,718.397216796875,6853.0693359375,804.612609863281,7444.08203125,99.1562194824219,94.8203887939453,956.719482421875,3408.37548828125,664.19189453125,270.298187255859,1396.1318359375
2021-07-29,52653.0703125,2827.40991210938,537.101257324219,712.929931640625,6701.34765625,825.042053222656,7493.21826171875,97.0474243164062,94.8203887939453,956.381958007812,3356.89990234375,688.677368164062,269.909942626953,1397.578125
2021-07-30,52586.83984375,2801.67065429688,532.364074707031,704.778747558594,6688.6962890625,839.657958984375,7443.498046875,99.163459777832,95.9980392456055,945.824645996094,3430.23291015625,678.643859863281,267.923126220703,1417.02490234375
2021-08-02,52950.62890625,2846.24975585938,535.348510742188,716.657592773438,6781.28173828125,847.682250976562,7469.505859375,99.0764846801758,95.6731719970703,952.525451660156,3426.35180664062,687.250549316406,270.320983886719,1433.33044433594
